id,name,synonyms
7332004,Farmers Market,[]
7315015,Fast Food,"['Fastfood Restaurant', 'Fast Food Restaurant']"
7315016,Philippine Restaurant,"['Philippine Cuisine', 'Philippine Food']"
7315104,Finnish Restaurant,"['Finnish Cuisine', 'Finnish Food']"
9362016,Fishing & Hunting Area,[]
7320002,Fitness Club & Center,"['Fitness Club & Centre', 'Fitness Centre', 'Gymnasium', 'Fitness Center', 'Gym', 'Fitness Club']"
7303003,Flats/Apartment Complex,"['Apartment Building', 'Block of Flats', 'Apartment Complex', 'Flats Complex', 'Apartment Block']"
9361017,Florists,"['Florist', 'Flowers', 'Flower Shop']"
9378004,Flying Club,[]
7315134,Fondue Restaurant,[]
9361018,Bakery,"[""Baker's"", 'Baker', 'Bakers']"
9361019,Butcher,['Butchers Shop']
9361020,Fishmonger,['Fish Market']
9361021,Food Market,[]
9361022,Greengrocer,"['Grocer', 'Vegetable Grocery Store']"
9361023,Grocery Store,"['Grocery', 'Groceries']"
9361024,Other Food Shops,[]
9361025,Wine & Spirits,"['Liquor', 'Off License', 'Liquor Store', 'Off Licence', 'Spirits', 'Liquor Outlet', 'Wholesale Liquor', 'Alcohol', 'Bottle Store']"
7374010,Football Stadium,"['American Football Stadium', 'Football Field', 'Football Ground', 'Football Arena']"
9362015,Forest Area,"['Forest', 'Woods']"
7315017,French Restaurant,"['French Food', 'French Cuisine']"
9352036,Funeral Service & Mortuaries,"['Mortuaries', 'Mortician', 'Funeral Parlor', 'Funeral Home', 'Funeral Parlour', 'Morgue', 'Undertaker', 'Mortuary', 'Funeral Service']"
9361054,Furniture/Home Furnishings,"['Furniture Showroom', 'House Fittings', 'Home Furnishings', 'Furnishings', 'Furniture', 'Furniture & Fittings']"
7315071,Fusion Restaurant,"['Fusion Food', 'Fusion Cuisine']"
7324002,Post Office,"['Post', 'Postal Service']"
7310004,Car Repair and Service,[]
9373002,General Practitioner,"['Physician', 'GP', 'MD', 'Medical Practitioner']"
7315018,German Restaurant,"['German Cuisine', 'German Food']"
9361026,"Gifts, Cards, Novelties & Souvenirs",[]
9361055,Glassware/Ceramic Shop,[]
